ID,Alias,Apellidos,Nombre,Dirección,Población,Teléfono,Móvil,Observaciones,Sexo,Fecha Nacimiento,Unnamed: 12,Hijos,Desempleado,Profesión,Nivel académico,Lengua usual,Ingresos mensuales,Ahorros,Peso Kg,Altura,Cabello,Ojos,Fumador,Salud,Afición1,Afición2,Característica1,Característica2,Valora1,Valora2,Fobias,Sexualidad,Disponible,REP_MAIL,test,Email_1,Email_2,Email_3
12,Africa,AROCAS PASADAS,ESTEFANIA,"PADRÓ , 109",Zaragoza,938205580,546212121.0,,Mujer,1964-03-20,,1.0,False,Administrativo/a,Bachillerato,catalán,1500,,73,1.62,Castaño,Marrones,True,Buena,Cine,TV,Sencillez,Ternura,Buen Humor,Realismo,,Bisexual,False,,10.88,africa@altecom.es,,
2,Agata,VISO GILABERT,QUERALT,"CASA CORDELLAS , ",Barcelona,936545115,625215452.0,,Mujer,1965-12-13,Agata,0.0,True,Delineante,EGB,castellano,1100,113000.0,98,1.55,Negro,Marrones,False,Regular,Caminar,Música,Sencillez,Sinceridad,Serenidad,Buen Humor,,Heterosexual,True,,20.0,anabel@altecom.es,agata@hotmail.com,
5,Albert,BASTARDES SOTO,MARC,"CARRIÓ , 12, 5È A",Tarragona,938350521,,,Hombre,1964-10-16,Albert,3.0,False,Dependiente/a,Elementales,catalán,1100,,91,1.81,Negro,Azules,False,Regular,Deporte,Deporte,Ternura,Fortaleza,Ternura,Romanticismo,La TV,Heterosexual,False,,30.0,albert@intercom.es,,
6,Alien,ANGUERA VILAFRANCA,JOSEP,"PIRINEUS , 10",Valencia,938755645,,,Hombre,1958-11-16,Alien,1.0,False,Estudiante,FP,euskara,500,,53,1.57,Negro,Verdes,False,Regular,Cine,Deporte,Buen Humor,Fortaleza,Serenidad,Ternura,,Homosexual,True,,30.0,alien@intercom.es,,
9,Antiga,RAYA GARCIA,RAQUEL,"JACINT VERDAGUER , 52, 3R, 1A.",Barcelona,936752156,,,Mujer,1967-10-10,Antiga,1.0,False,Oficial,FP,catalán,800,,65,1.81,Rubio,Azules,False,Regular,Deporte,Música,Sinceridad,Fortaleza,Alegría,Realismo,Los días lluviosos,Bisexual,True,,0.0,antiga@minorisa.es,,
20,ballador,ANDREU CRUZ,JOAN,"JOAN MIRÓ , 10",Tarragona,938300025,648221111.0,,Hombre,1960-05-29,Cangur,1.0,True,Recepcionista,EGB,catalán,1200,87800.0,99,1.62,Castaño,Otro,True,Buena,Cine,TV,Alegría,Ternura,Romanticismo,Alegría,,No declarada,True,,,ballador@hotmail.com,besugo@minorisa.es,bond@terra.es
16,Borreguero,ZAMBUDIO FIGULS,LLUÍS,"CASA NOVA , ",Lleida,936875544,625411320.0,,Hombre,1969-01-30,Borreguero,1.0,True,,EGB,catalán,1100,113600.0,104,1.67,Rubio,Verdes,False,Regular,Cine,Música,Inteligencia,Sencillez,Inteligencia,Sinceridad,,No declarada,True,,,,,
17,Cabeza larga,BIDAULT CULLERÉS,LAURA,"DE LA CAÇA , 12, 1R., C",Valencia,935880712,690522200.0,,Mujer,1967-04-02,Cabeza larga,,True,Contable,Licenciado/a,castellano,500,10900.0,74,1.87,Pelirrojo,Negros,True,Buena,Lectura,TV,Buen Humor,Sencillez,Sinceridad,Inteligencia,,Bisexual,True,,,cabeza larga@cataloniamail.com,,
18,Caga-novias,BIOSCA FONTANET,JORDI,"PINTOR SERT , 12, 2N., 1A.",Zaragoza,936875255,647821111.0,,Hombre,1958-09-03,Caga-novias,3.0,False,Camarero/a,EGB,catalán,600,,107,1.75,Calvo,Azules,False,Buena,Cine,TV,Sencillez,Ternura,Buen Humor,Realismo,,Homosexual,True,,,,,
19,Calandria,ZAFRA FIGULS,DOUNYA,"CASA SARA , ",Tarragona,936542775,,,Mujer,1966-05-31,Calandria,1.0,True,,EGB,castellano,400,91400.0,107,1.73,Otros,Marrones,True,Regular,Música,Caminar,Fortaleza,Romanticismo,Alegría,Serenidad,La gente prepotente,No declarada,True,,,,,
21,Cantinflas,BADIA TORNÉ,ANDREU,"GENERAL PRIM , 11, 2N.",Valencia,938200022,,,Hombre,1963-02-23,Cantinflas,1.0,False,Recepcionista,Diplomado/a,euskara,1000,,106,1.79,Rubio,Verdes,False,Regular,Lectura,Caminar,Sinceridad,Romanticismo,Romanticismo,Sencillez,,Heterosexual,True,,,,,
22,Canto,MORALES GESE,RAMON,"CAU DE LA GUINEU , 4",Tarragona,936512545,,,Hombre,1958-01-26,Canto,,False,Abogado/a,EGB,catalán,1100,,70,1.81,Calvo,Verdes,False,Buena,Lectura,Deporte,Inteligencia,Buen Humor,Alegría,Sinceridad,,Heterosexual,True,,,,,
